,content,label
0,"Observação de desprendimento de bolhas de material escuro pela interface entre o tree manifold da ANM 
do MRL-024 e a capa de corrosão instalada no equipamento (RS JGMRL21-042). Mobilização de instrumento de coleta de fluido desprendido sob a forma de bolhas; 
• •  Observado que o fluxo não é contínuo e/ou constante, ocorrendo com periodicidade irregular/ variável e 
com bolhas apresentando tamanhos variados. Durante a aproximação do ROV, com o incremento dos thrusters, foram desprendidas aproximadamente 
100 bolhas de resíduo escuro que estavam acumuladas na região da face 3. Nº bolhas  Observações 
08/02/2021 - 03:23:00  08/02/2020 - 03:26:00  37 Período de maior fluxo observado 
08/02/2021 - 12:38:00  08/02/2020 - 12:58:00  4  - 
08/02/2021 - 21:15:00  08/02/2020 - 21:20:00  72  Maior bolha registrada 
08/02/2021 - 23:30:00  08/02/2020 - 24:00:00  18  - 
09/02/2021 - 01:02:00  09/02/2020 - 01:10:00  6  - 
11/02/2021 – 10:22:00  11/02/2021 – 10:25:40  ~100  Bolhas assimétricas 
 
   
Foto 7: Ponto principal de escape de bolhas durante o 
corrosão e o funil da ANM  monitoramento Foto 9: Escape de fluido no período de maior fluxo    Foto 10: Registro da maior bolha observada durante o 
RS JGMRL21-042  monitoramento  
PRESTADOR DE SERVIÇOS RESPONSÁVEL PELA  FISCALIZAÇÃO  
EMISSÃO DO DOCUMENTO Com o intuito de analisar o tipo de fluido corrente, a equipe de ROV do Joe Griffin adaptou um instrumento 
capaz de coletar o material acumulado na base da capa de corrosão, desprendido e liberado em forma de 
bolhas, e um coletor que, por fricção, acumulasse o material aderido ao funil da ANM. •  Não foi possível coletar material fluido desprendido sob a forma de bolhas, pois parece que a liberação do 
fluxo se deu somente após a aproximação do ROV durante a inspeção visual, escopo do RS JGMRL21-042 
e em alguns momentos esporádicos quando o coletor não estava posicionado. CONCLUSÃO 
•  Realizada inspeção em busca de danos e vazamentos na ANM do poço 7-MRL-24D-RJS em complemento 
ao relatório JGMRL21-042, considerando os padrões, procedimentos e instruções da PETROBRAS e do 
suporte técnico da EQSB remoto; 
•  Observado acúmulo de material escuro na parte inferior da capa de corrosão instalada no tree manifold da 
ANM; 
•  Não foi possível coletar material líquido com o mecanismo desenvolvido, considerando a periodicidade das 
ocorrências das bolhas desprendidas do local; As bolhas que escapam entre a capa de corrosão e o funil da ANM possuem tamanhos assimétricos, fluxo 
variado e ocorrem com periodicidade irregular; 
•  Coletada amostra de material que estava à estrutura aaderido baixo da capa de corrosão, junto ao tree 
manifold da ANM. Observado escape de bolhas na 
(H)","{'recommendations': [{'recommendation': 'opção 5', 'location': 'equipamento', 'type': 'escape de bolhas de gás'}]}"
1,"04 
 
OPERAÇÕES REALIZADAS: 
  Realizado contato com a P-55 para verificação de injeção de N2 no bloco da ANM por parte da Unidade, para 
facilitar a identificação de possíveis pontos de escape de bolhas. Situação confirmada pela Sala de Controles 
da plataforma; 
  Realizado inspeção e status de válvulas dos painéis das faces 1 a 4 do conjunto ANM; 
  Realizado inspeção dos indicadores de travamento dos equipamentos e subequipamentos das faces 1 a 4 do 
conjunto ANM; 
  Realizada inspeção em todo o conjunto da ANM (faces 1 a 4) em busca de escape de bolhas; 
  Retorno do ROV ao convés e posterior retorno ao poço a pedido da UEP, afim de realizar novo monitoramento, 
devido necessidade de manobras pela Unidade;  
  Identificado acúmulo de fluido no funil da capa de corrosão da Tree Cap e funil do hub da Tree Cap; 
  P-55 realizou a abertura da válvula XO e pressurização do jumper de GL de Etanol e Gás com 202 bar; 
 O poço encontra-se fechado, segundo informações da Sala de Controle da P-55; 
  P-55 informou ter pressurizado N2 com 270 bar na linha de serviço do 7-RO-112HA-RJS para facilitar a possível 
verificação de ponto de escape de bolhas; 
 
CONTRATADA  FISCALIZAÇÃO ONSHORE 
SUB/SSUB/MIS/MI-AUP 
Luiz A. Dias  Lucia Cecilia Honório Sargento  Tadeu Kosinski 
SISPAT: 40370527  Matr. 04 
 
  Realizada inspeção e status de válvulas dos painéis das faces 1 a 4 do conjunto ANM (fotos 01 a 12); 
  Realizada inspeção dos indicadores de travamento dos equipamentos e subequipamentos das faces 1 a 4 do 
conjunto ANM; 
  Realizada inspeção em todo o conjunto da ANM (faces 1 a 4) em busca de escape de bolhas; 
  Identificado acúmulo de fluido no funil da capa de corrosão da Tree Cap e funil do hub da Tree Cap.",{'recommendations': []}
2,"OUTROS PONTOS RELEVANTES 
  Presença de Hidrato na válvula VD do painel do MCV-U – Face 2; 
  Presença de Hidrato no funil da ANM – Face 2; 
  Presença de Hidrato no spool – Face3; 
  Presença de Hidrato Tree Cap – Face 4; 
 
PRESTADOR DE SERVIÇOS RESPONSÁVEL PELA  INSPETOR 
EMISSÃO DO DOCUMENTO Presença de Hidrato na válvula  Foto 63. Presença de Hidrato no funil da 
VD do painel do MCV-U.  ANM – Presença de Hidrato spool da 
empenada – Face 2.  ANM – Presença de Hidrato Tree Cap –  Foto 67. Presença de Hidrato ANM – 
Face 4 Presença de formação de hidrato na válvula VD do painel do MCV-U, no funil da ANM, no spool da ANM, 
Tree Cap e ANM; 
  Não foi realizado teste funcional por não estar contemplado nessa OS no Ciemsub; 
  Não foi realizada medição de potencial eletroquímico por não obrigatoriedade do CiemSub e conforme 
procedimento PE-2SUB-00431 – Ver.","{'recommendations': [{'recommendation': 'opção 5', 'location': 'equipamento', 'type': 'hidrato'}]}"
3,"Realizar inspeção diferenciada para identificar possível evolução de escape de gás já registrado anteriormente 
ou identificar novos pontos de escape no  7-AB-13HA -RJS. 
3. EM BUSCA DE ESCAPE DE GÁS Observado s 02 pontos conhecidos  de inspeções anteriores (não identificados no relatório SEab20 -051, porém 
identificados através das foto s 7 e 8 do relatório FSGab18 -170), com escape  de bolhas de  gás migrando a 
partir do  leito marinho no entorno do poço - Face 1 (~6 bolhas / min ), sendo realizada  a filmagem por 15 
minutos em cada local  (Fotos 3 a 5). ✓ Observado  02 novos  pontos , com escape  de bolhas de gás migrando a partir do leito marinho no entorno do 
poço - Face 1 (~6 bolhas / min), sendo realizada a filmagem por 15 minutos em cada local (Fotos 3, 6 e 7). Não foi observado escape de bolhas de gás migrando a partir do leito marinho no  entorno do poço - Face 1, na 
posição identificada  anteriormente  através da foto 8 do relatório SEab20 -051, assim como através das fotos 5 e 
6 do relatório FSGab18 -170. ✓ Observado s 02 pontos conhecidos de inspeções anteriores  (não identificados no relatório SEab20 -051, porém 
identificados através das fotos 13 e 15 do relatório FSGab18 -170), com escape  de bolhas de  gás migrando a 
partir do  leito marinho no entorno do poço - Face 2 (~6 bolhas / min ), sendo realizada  a filmagem por 15 
minutos simultaneamente dos dois locais (Fotos 9 a 11). ✓ Observado  01 novo ponto, com escape  de bolhas de gás migrando a partir do leito marinho no entorno do poço 
- Face 2 (~6 bolhas / min), sendo realizada a filmagem por 15 minutos do local (Fotos 9 e 12 ). Não foi observado escape de bolhas de gás migrando a partir do leito marinho no  entorno d o poço  e a 
formação de hidrato - Face 2, na posição identificada através da s fotos 9 e 10  do relatório SEab20 -051, assim 
como através da  foto 14 do relatório FSGab18 -170. Não foi observad o escape  de bolhas de gás migrando a partir do leito marinho no entorno do poço - Face 3, 
conforme previstos nos  relatório s SEab20 -051 e FSGab18 -170 (Foto 14). Sapura Esmeralda, através da foto 12 do relatório SEab 20-051, não foi observada escape  
de bolhas de gás migrando a partir do leito marinho no entorno do poço - Face 4, anteriormente localizada pelo 
RSV Far Saga , através das  fotos 22 e 23 do relatório FSGab18 -170. Leito marinho a 5 m,  com escape  de bolhas de gás  – 
Face 1. Ponto conhecido com escape  de bolhas de gás  no 
leito marinho – Face 1. Ponto conhecido com  escape  de bolhas de gás  no 
leito marinho  – Face 1. Novo ponto c om escape  de bolhas de gás  no leito 
marinho – Face 1. Novo ponto com escape  de bolhas de gás  no leito 
marinho – Face 1. Ponto conhecido sem  escape  de bolhas de gás no 
leito marinho – Face 1. Leito marinho a 5 m, com escape  de bolhas de gás – 
Face 2. Ponto conhecido com  escape  de bolhas de gás no 
leito marinho – Face 2. Ponto conhecido com escape  de bolhas de gás no 
leito marinho – Face 2. Novo ponto com escape  de bolhas de gás no leito 
marinho – Ponto conhecido sem  escape  de bolhas de gás e 
hidrato no leito marinho – Face 2. Leito marinho a 5 m, sem escape  de bolhas de gás 
– Leito marinho a 5 m, sem escape  de bolhas de gás 
– Ponto conhecido sem  escape  de bolhas de gás no 
leito marinho – A baixa visibi lidade em decorrência de suspens ão de partículas na água  e quantidade de pontos de escape  de 
gás no leito marinho para monitoramento  impactou  no tempo operacional. Os locais de escape  de gás no leito marinho foram comparados com os relatórios de referência ( FSGab18 -170 
de 24/10/2018 / SEab20 -051 de 02/05/2020),  com base na similaridade dos cenários apresentados nos 
registros fotográficos (sucatas, cabos, irregularidades no leito, etc.). CONCLUSÃO  
• Observado um total de 04 pontos de escape  de bolhas de gás  intermitentes de baixa intensidade,  migrando a 
partir do leito marinho no entorno do poço - Face 1 , com intensidade média de 6 bolhas / min . Não foi observad o escape  de bolhas de gás migrando a partir do leito marinho no entorno do poço - Face 1 , na 
posição identificada anteriormente através da foto 8 do relatório SEab20 -051, assim como através das fotos 5 e 
6 do relatório FSGab18 -170. • Observado um total de 0 3 pontos de escape  de bolhas de gás intermitentes de baixa intensidade, migrando a 
partir do leito marinho no entorno do poço - Face 2, com intensidade média de 6 bolhas / min. Não foi observado escape de bolhas de gás migrando a partir do leito marinho no  entorno do poço  e a 
formação de hidrato - Face 2 , na posição identificada através da s fotos 9 e 10  do relatório SEab20 -051, assim 
como através da  foto 14 do relatório FSGab18 -170. Não foi observado escape de bolhas de gás migrando a partir do leito marinho no  entorno do poço - Face 3 , 
conforme previstos nos  relatório s SEab20 -051 e FSGab18 -170. Sapura Esmeralda, através da foto 12 do relatório SEab20 -051, não foi observada escape  
de bolhas de gás migrando a partir do leito marinho no entorno do poço - Face 4 , anteriormente localizada pelo 
RSV Far Saga , através das  fotos 22 e 23  do relatório FSGab18 -170. SIM  ☐ NÃO  Escape de gás de baixa intensidade na s","{'recommendations': [{'recommendation': 'opção 2', 'location': 'leito/solo marinho', 'type': 'escape de bolhas de gás'}]}"
4,"  Identificado o poço 7-MRL-118H-RJS / P-35 (fotos 1 e 2); 
  Identificado escape de bolhas oriundo da relief do atuador da válvula W2, conforme indicado na PATEC PI- Origem das bolhas. Origem das bolhas","{'recommendations': [{'recommendation': 'opção 5', 'location': 'equipamento', 'type': 'escape de bolhas de gás'}]}"
5,"OBJETIVO  
 Realizar inspeção diferenciada para verificação do estado geral de c onservação do  conjunto d a ANM do 
poço 7-AB-21D-RJS interligado à P-25 a fim de avaliar possível escape de gás . 
3. Foi observado exsudação  para o meio externo no leito marin ho na base da BAP, bolhas, de forma intermitente, 
localizado através do uso de minicâmera; evento já relatado em inspeções anteriores. Conforme CiemSub, não foi requisitado Teste Funcional e Manuseio de Válvulas na Inspeção 
Diferenciada  de Escape de Gás Cabeça de Poço [PI -CABP -EDG12] 7 -AB-21D-RJS / 7 -AB-21D-RJS / P -25","{'recommendations': [{'recommendation': 'opção 2', 'location': 'leito/solo marinho', 'type': 'escape de bolhas de gás'}]}"
6,"A fiscalização e o STO foram 
informados, e decidiram prosseguir com a operação, pois uma das suspeitas na falha de atuação da M2 era de formação de hidrato nobloco da ANM. Dado prosseguido a operação, foi solicitado pela fiscalização (com STO/BR ciente e concordante), realizar bombeio de água quente via HCR, afim de dissociar possível hidrato nobloco da ANM, durante o 
bombeio foram realizados 20 ciclos de atuação na M2 visando obter sucesso no fechamento total do atuador, porém não obtivemos sucesso.",{'recommendations': []}
7,"-
MV9.62492/2021 por 15 minutos, sendo observado escape contínuo de gás com baixa intensidade  com 
média de 24 bolhas por minuto  (Foto 24) . 
 
 
Foto 24: Escape de gás através do bonnet  da válvula PIG -XO – Face 3 
 
4.7. ✓ Não foram observados danos mecânicos relevantes ; 
✓ Monitorado ponto de escape no bonnet  da válvula PIG -XO conforme indicação d parecer técnico PI -
ANM -MV9.62492/2021 por 15 minutos, sendo observado escape contínuo de gás com baixa intensidade 
com média de 24 bolhas por minuto;  
✓ ☐ NÃO  Observado escape contínuo de gás 
com baixa intensidade com média de 
24 bolhas por minuto  no bonnet  da 
válvula PIG -XO 
(I)","{'recommendations': [{'recommendation': 'opção 5', 'location': 'equipamento', 'type': 'escape de bolhas de gás'}]}"
8,"ESCAPE DE GÁS - 7-CO-8D-RJS / P-09  OS: 6000582112 
CAMPO  COORDENADAS UTM / SIRGAS 2000 / MC 39°  INSTALAÇÃO  PROFUNDIDADE (m) 
Corvina  N 7.503.213 / E  345.148  7-CO-8D-RJS    246m 
Início de inspeção  14h13min de 06/04/2021 Realizar inspeção diferenciada de escape de gás na ANM do poço 7-CO-8D-RJS interligado a P-09, a fim 
de detectar possíveis não conformidades. 
 
3. A existência de escape de gás em 2 pontos mencionados no relatório WYco18-086 de 09/06/2018, não foi 
encontrada durante a inspeção realizada nesta data. Observado escape de gás continuo, na Treecap. Primeiro ponto de escape de gás na BGP, não 
gás na BGP, não observado.  observado. Segundo ponto de escape de gás no flange da 
gás no flange da válvula W2.  válvula W2, não observado 
   
Foto 14. Terceiro ponto de escape de gás na Treecap, 
gás na Treecap. CONCLUSÃO 
•  Realizada inspeção diferenciada de vazamento de gás da ANM do poço 7-CO-8 do D-RJS  
• Observado escape de gás na Treecap e enviado e-mail com vídeo de 10s para o Turno; 
•  Skid de anodos, com anodos apresentando desgaste generalizado leve Foi identificado algum tipo de escape de fluido?  ☒SIM  ☐ NÃO  Escape  de  gás  continuo  já 
identificado no relatório anterior. 
(I)  Foi  identificada  alguma  avaria  no  objeto  de  ☐SIM  ☒NÃO   
intervenção? 
(J)  Foi  identificado  algum  reparo  no  objeto  de  ☐SIM  ☒ NÃO   
intervenção? 
(K) Foram  identificados  cruzamentos  ou  outras  ☐SIM  ☒ NÃO   
interferências? 
(L)","{'recommendations': [{'recommendation': 'opção 5', 'location': 'equipamento', 'type': 'escape de bolhas de gás'}]}"
9,"•  Foram observados 2 pontos com escape de gás (Fotos 21 e 22). Ponto 1 de escape de gás – Quadrante II Ponto 2 de escape de gás – Quadrante IV 
(1/5min).  (1/1min). 
4.7. CONCLUSÃO 
•  Realizada inspeção diferenciada – Visual da BAP do BAP 8-MRL-41D-RJS/P-19; 
•  Danos mecânicos (amassamento) em duas hastes indicadoras de travamento da BAP e Hot stab da válvula 
DM no painel da BAP; 
•  Foram observados 2 pontos com escape de gás. 
 
Tabela 9 - CONCLUSÃO 
Pergunta  Resposta  Referência / Observação 
(A)","{'recommendations': [{'recommendation': 'opção 5', 'location': 'equipamento', 'type': 'escape de bolhas de gás'}]}"
